row ID,Time,Retweet from,User
Row373,6/23/2017 22:34,,elonmusk
Row374,6/23/2017 22:32,,elonmusk
Row375,6/23/2017 22:05,SpaceX,elonmusk
Row376,6/23/2017 21:07,,elonmusk
Row377,6/23/2017 20:14,,elonmusk
Row378,6/23/2017 19:58,,elonmusk
Row379,6/23/2017 18:39,SpaceX,elonmusk
Row380,6/23/2017 3:17,,elonmusk
Row381,6/23/2017 3:07,justAfanDavid,elonmusk
Row382,6/23/2017 3:01,,elonmusk
Row383,6/23/2017 2:50,,elonmusk
Row384,6/22/2017 19:43,,elonmusk
Row385,6/22/2017 19:36,,elonmusk
Row386,6/22/2017 7:09,,elonmusk
Row387,6/22/2017 7:08,,elonmusk
Row388,6/22/2017 7:07,,elonmusk
Row389,6/21/2017 13:15,,elonmusk
Row390,6/21/2017 11:53,karpathy,elonmusk
Row391,6/21/2017 4:43,,elonmusk
Row392,6/21/2017 4:38,,elonmusk
Row393,6/21/2017 1:30,SpaceX,elonmusk
Row394,6/20/2017 20:03,,elonmusk
Row395,6/20/2017 8:42,,elonmusk
Row396,6/20/2017 8:15,,elonmusk
Row397,6/20/2017 8:13,,elonmusk
Row398,6/20/2017 8:06,,elonmusk
Row399,6/19/2017 18:49,,elonmusk
Row400,6/19/2017 2:45,,elonmusk
Row401,6/19/2017 1:59,,elonmusk
Row402,6/19/2017 1:46,,elonmusk
Row403,6/19/2017 1:40,,elonmusk
Row404,6/19/2017 1:29,,elonmusk
Row405,6/19/2017 1:20,,elonmusk
Row406,6/19/2017 1:18,,elonmusk
Row407,6/18/2017 23:29,,elonmusk
Row408,6/18/2017 23:27,,elonmusk
Row409,6/18/2017 23:25,,elonmusk
Row410,6/18/2017 22:09,,elonmusk
Row411,6/18/2017 20:37,,elonmusk
Row412,6/18/2017 20:32,,elonmusk
Row413,6/17/2017 22:31,,elonmusk
Row414,6/17/2017 6:11,,elonmusk
Row415,6/17/2017 6:10,,elonmusk
Row416,6/17/2017 1:57,,elonmusk
Row417,6/17/2017 1:15,,elonmusk
Row418,6/16/2017 20:40,,elonmusk
Row419,6/16/2017 3:27,,elonmusk
Row420,6/16/2017 3:23,,elonmusk
Row421,6/14/2017 22:22,,elonmusk
Row422,6/14/2017 21:05,cnntech,elonmusk
Row423,6/14/2017 21:05,jovanik21,elonmusk
Row424,6/13/2017 18:28,,elonmusk
Row425,6/13/2017 18:25,OpenAI,elonmusk
Row426,6/13/2017 11:43,ElectrekCo,elonmusk
Row427,6/13/2017 11:10,,elonmusk
Row428,6/13/2017 9:01,,elonmusk
Row429,6/13/2017 7:28,,elonmusk
Row430,6/12/2017 1:22,,elonmusk
Row431,6/11/2017 22:23,,elonmusk
Row432,6/10/2017 22:55,,elonmusk
Row433,6/10/2017 22:50,,elonmusk
Row434,6/10/2017 1:59,,elonmusk
Row435,6/10/2017 1:53,,elonmusk
Row436,6/10/2017 1:47,,elonmusk
Row437,6/10/2017 1:37,,elonmusk
Row438,6/10/2017 1:31,,elonmusk
Row439,6/10/2017 1:27,,elonmusk
Row440,6/10/2017 1:26,,elonmusk
Row441,6/10/2017 1:11,,elonmusk
Row442,6/10/2017 1:04,,elonmusk
Row443,6/10/2017 1:03,businessinsider,elonmusk
Row444,6/9/2017 22:52,,elonmusk
Row445,6/9/2017 21:42,,elonmusk
Row446,6/9/2017 19:13,,elonmusk
Row447,6/9/2017 19:09,,elonmusk
Row448,6/9/2017 19:08,,elonmusk
Row449,6/9/2017 18:37,,elonmusk
Row450,6/9/2017 13:54,,elonmusk
Row451,6/9/2017 13:51,,elonmusk
Row452,6/9/2017 13:18,,elonmusk
Row453,6/9/2017 13:14,,elonmusk
Row454,6/9/2017 13:08,,elonmusk
Row455,6/9/2017 13:00,,elonmusk
Row456,6/9/2017 12:55,,elonmusk
Row457,6/9/2017 3:50,,elonmusk
Row458,6/9/2017 3:32,,elonmusk
Row459,6/9/2017 0:57,,elonmusk
Row460,6/9/2017 0:56,,elonmusk
Row461,6/8/2017 23:52,,elonmusk
Row462,6/8/2017 23:28,,elonmusk
Row463,6/8/2017 23:25,,elonmusk
Row464,6/8/2017 23:23,,elonmusk
Row465,6/8/2017 23:06,,elonmusk
Row466,6/8/2017 23:02,,elonmusk
Row467,6/8/2017 23:02,,elonmusk
Row468,6/8/2017 23:02,,elonmusk
Row469,6/8/2017 22:59,,elonmusk
Row470,6/8/2017 22:55,,elonmusk
Row471,6/8/2017 22:51,,elonmusk
Row472,6/8/2017 22:16,,elonmusk
Row473,6/8/2017 22:16,,elonmusk
Row474,6/8/2017 22:15,,elonmusk
Row475,6/8/2017 22:14,,elonmusk
Row476,6/8/2017 22:13,,elonmusk
Row477,6/8/2017 22:10,,elonmusk
Row478,6/8/2017 22:10,,elonmusk
Row479,6/8/2017 22:10,,elonmusk
Row480,6/8/2017 22:08,,elonmusk
Row481,6/8/2017 22:06,,elonmusk
Row482,6/8/2017 22:05,,elonmusk
Row483,6/8/2017 21:54,,elonmusk
Row484,6/8/2017 21:51,,elonmusk
Row485,6/8/2017 21:49,,elonmusk
Row486,6/8/2017 21:48,,elonmusk
Row487,6/8/2017 20:36,,elonmusk
Row488,6/8/2017 20:34,,elonmusk
Row489,6/8/2017 20:34,,elonmusk
Row490,6/8/2017 20:30,,elonmusk
Row491,6/8/2017 20:05,,elonmusk
Row492,6/8/2017 5:44,,elonmusk
Row493,6/8/2017 2:51,,elonmusk
Row494,6/7/2017 22:27,,elonmusk
Row495,6/7/2017 10:09,,elonmusk
Row496,6/7/2017 10:06,,elonmusk
Row497,6/7/2017 9:27,SpaceX,elonmusk
Row498,6/7/2017 8:21,,elonmusk
Row499,6/7/2017 8:16,,elonmusk
Row500,6/7/2017 4:12,,elonmusk
Row501,6/7/2017 4:04,,elonmusk
Row502,6/7/2017 4:02,,elonmusk
Row503,6/6/2017 22:15,,elonmusk
Row504,6/6/2017 20:57,,elonmusk
Row505,6/6/2017 20:55,,elonmusk
Row506,6/6/2017 20:55,,elonmusk
Row507,6/6/2017 20:42,,elonmusk
Row508,6/6/2017 13:00,newscientist,elonmusk
Row509,6/6/2017 9:29,,elonmusk
Row510,6/6/2017 7:38,,elonmusk
Row511,6/6/2017 7:31,,elonmusk
Row512,6/6/2017 7:28,,elonmusk
Row513,6/6/2017 5:23,,elonmusk
Row514,6/6/2017 5:17,,elonmusk
Row515,6/6/2017 3:27,,elonmusk
Row516,6/6/2017 1:04,,elonmusk
Row517,6/5/2017 23:13,,elonmusk
Row518,6/5/2017 22:07,,elonmusk
Row519,6/5/2017 22:05,,elonmusk
Row520,6/5/2017 20:44,,elonmusk
Row521,6/5/2017 20:39,,elonmusk
Row522,6/5/2017 20:37,Tesla,elonmusk
Row523,6/5/2017 20:04,,elonmusk
Row524,6/5/2017 20:03,,elonmusk
Row525,6/5/2017 20:03,,elonmusk
Row526,6/5/2017 8:44,,elonmusk
Row527,6/4/2017 19:44,,elonmusk
Row528,6/4/2017 7:53,,elonmusk
Row529,6/4/2017 7:51,,elonmusk
Row530,6/4/2017 7:49,,elonmusk
Row531,6/4/2017 3:26,NASA,elonmusk
Row532,6/3/2017 21:51,,elonmusk
Row533,6/2/2017 12:20,,elonmusk
Row534,6/2/2017 4:55,RobertIger,elonmusk
Row535,6/2/2017 1:48,,elonmusk
Row536,6/1/2017 23:42,,elonmusk
Row537,6/1/2017 23:02,,elonmusk
Row538,6/1/2017 19:28,SpaceX,elonmusk
Row539,6/1/2017 19:28,,elonmusk
Row540,6/1/2017 18:57,TheMarsSociety,elonmusk
Row541,6/1/2017 10:41,,elonmusk
Row542,5/31/2017 21:19,insideclimate,elonmusk
Row543,5/31/2017 20:38,,elonmusk
Row544,5/31/2017 20:34,,elonmusk
Row545,5/31/2017 9:10,,elonmusk
Row546,5/31/2017 8:08,,elonmusk
Row547,5/31/2017 8:05,,elonmusk
Row548,5/31/2017 8:05,,elonmusk
Row549,5/29/2017 9:22,,elonmusk
Row550,5/29/2017 6:48,,elonmusk
Row551,5/28/2017 2:20,,elonmusk
Row552,5/28/2017 2:16,,elonmusk
Row553,5/26/2017 13:45,,elonmusk
Row554,5/26/2017 13:05,OpenAI,elonmusk
Row555,5/26/2017 11:37,,elonmusk
Row556,5/26/2017 9:20,,elonmusk
Row557,5/25/2017 12:01,,elonmusk
Row558,5/25/2017 9:51,,elonmusk
Row559,5/25/2017 9:43,,elonmusk
Row560,5/24/2017 7:50,,elonmusk
Row561,5/24/2017 7:41,,elonmusk
Row562,5/24/2017 4:18,,elonmusk
Row563,5/24/2017 4:15,,elonmusk
Row564,5/24/2017 4:13,,elonmusk
Row565,5/24/2017 1:34,,elonmusk
Row566,5/24/2017 1:33,,elonmusk
Row567,5/23/2017 5:59,,elonmusk
Row568,5/23/2017 2:29,,elonmusk
Row569,5/23/2017 2:26,,elonmusk
Row570,5/23/2017 2:23,,elonmusk
Row571,5/23/2017 2:15,,elonmusk
Row572,5/23/2017 2:14,,elonmusk
Row573,5/23/2017 2:10,GeorgeTakei,elonmusk
Row574,5/22/2017 7:15,,elonmusk
Row575,5/22/2017 5:34,,elonmusk
Row576,5/22/2017 5:31,,elonmusk
Row577,5/22/2017 5:29,,elonmusk
Row578,5/22/2017 5:28,,elonmusk
Row579,5/22/2017 5:26,,elonmusk
Row580,5/22/2017 5:00,,elonmusk
Row581,5/22/2017 4:57,,elonmusk
Row582,5/22/2017 4:55,,elonmusk
Row583,5/22/2017 4:53,,elonmusk
Row584,5/22/2017 4:52,,elonmusk
Row585,5/22/2017 4:50,,elonmusk
Row586,5/22/2017 4:49,,elonmusk
Row587,5/22/2017 4:47,,elonmusk
Row588,5/22/2017 4:46,,elonmusk
Row589,5/22/2017 4:42,,elonmusk
Row590,5/22/2017 4:39,,elonmusk
Row591,5/22/2017 4:39,,elonmusk
Row592,5/22/2017 4:38,,elonmusk
Row593,5/22/2017 4:37,waitbutwhy,elonmusk
Row594,5/21/2017 8:58,,elonmusk
Row595,5/20/2017 2:13,,elonmusk
Row596,5/20/2017 2:09,,elonmusk
Row597,5/20/2017 2:01,,elonmusk
Row598,5/19/2017 0:06,creepypuppet,elonmusk
Row599,5/18/2017 2:32,ElectrekCo,elonmusk
Row600,5/17/2017 9:02,,elonmusk
Row601,5/17/2017 8:50,,elonmusk
Row602,5/17/2017 7:58,,elonmusk
Row603,5/17/2017 7:52,,elonmusk
Row604,5/17/2017 5:56,,elonmusk
Row605,5/17/2017 1:43,,elonmusk
Row606,5/16/2017 21:00,,elonmusk
Row607,5/16/2017 6:34,SpaceX,elonmusk
Row608,5/16/2017 6:34,OpenAI,elonmusk
Row609,5/16/2017 2:14,SpaceX,elonmusk
Row610,5/16/2017 0:53,wcax,elonmusk
Row611,5/14/2017 3:38,,elonmusk
Row612,5/14/2017 3:35,,elonmusk
Row613,5/14/2017 3:30,,elonmusk
Row614,5/14/2017 3:27,,elonmusk
Row615,5/14/2017 3:26,,elonmusk
Row616,5/14/2017 3:25,,elonmusk
Row617,5/13/2017 5:51,,elonmusk
Row618,5/13/2017 5:50,,elonmusk
