Date,Open_Price,High_Price,Low_Price,Close_Price,Adj_Close_Price,Volume
1/2/14,149.800003,152.479996,146.550003,150.100006,150.100006,6188400
1/3/14,150,152.190002,148.600006,149.559998,149.559998,4695000
1/6/14,150,150.399994,145.240005,147,147,5361100
1/7/14,147.619995,150.399994,145.25,149.360001,149.360001,5034100
1/8/14,148.850006,153.699997,148.759995,151.279999,151.279999,6163200
1/9/14,152.5,153.429993,146.850006,147.529999,147.529999,5382000
1/10/14,148.460007,148.899994,142.25,145.720001,145.720001,7446100
1/13/14,145.779999,147,137.820007,139.339996,139.339996,6316100
1/14/14,140.5,162,136.669998,161.270004,161.270004,27607000
1/15/14,168.449997,172.229996,162.100006,164.130005,164.130005,20465600
1/16/14,162.5,172.699997,162.399994,170.970001,170.970001,11959400
1/17/14,170.190002,173.199997,167.949997,170.009995,170.009995,9206200
1/21/14,171.240005,177.289993,170.809998,176.679993,176.679993,9734700
1/22/14,177.809998,180.320007,174.759995,178.559998,178.559998,7022600
1/23/14,177.229996,182.380005,173.419998,181.5,181.5,7867400
1/24/14,177.850006,180.479996,173.529999,174.600006,174.600006,7664300
1/27/14,175.160004,177.919998,164.710007,169.619995,169.619995,8716400
1/28/14,171.5,178.979996,171,178.380005,178.380005,6093400
1/29/14,175.300003,179.089996,173.130005,175.229996,175.229996,5935500
1/30/14,178,184.779999,177.009995,182.839996,182.839996,8565000
1/31/14,178.850006,186,178.509995,181.410004,181.410004,6508800
2/3/14,182.889999,184.880005,175.160004,177.110001,177.110001,6764900
2/4/14,180.699997,181.600006,176.199997,178.729996,178.729996,4686300
2/5/14,178.300003,180.589996,169.360001,174.419998,174.419998,7268000
2/6/14,176.300003,180.110001,176,178.380005,178.380005,5841600
2/7/14,181.009995,186.630005,179.600006,186.529999,186.529999,8928500
2/10/14,189.339996,199.300003,189.320007,196.559998,196.559998,12970700
2/11/14,198.970001,202.199997,192.699997,196.619995,196.619995,10709900
2/12/14,195.779999,198.270004,194.320007,195.320007,195.320007,5173700
2/13/14,193.339996,202.720001,193.25,199.630005,199.630005,8029300
2/14/14,198.100006,201.880005,197,198.229996,198.229996,6158000
2/18/14,205.240005,206,201.360001,203.699997,203.699997,9332800
2/19/14,203.699997,203.699997,193.410004,193.639999,193.639999,16169000
2/20/14,215.009995,215.210007,206.270004,209.970001,209.970001,18002300
2/21/14,211.639999,213.979996,209.190002,209.600006,209.600006,7818800
2/24/14,208.759995,218.360001,208.320007,217.649994,217.649994,8278400
2/25/14,230,259.200012,228.449997,248,248,32681700
2/26/14,258.579987,265,247.5,253,253,24604600
2/27/14,261.25,261.899994,248.330002,252.539993,252.539993,17945800
2/28/14,249.649994,252.679993,242.550003,244.809998,244.809998,14589800
3/3/14,237.259995,251.649994,234.990005,250.559998,250.559998,13089300
3/4/14,258.480011,260,252.830002,254.839996,254.839996,8745600
3/5/14,256.720001,256.98999,251.800003,252.660004,252.660004,5935700
3/6/14,254.139999,257.5,249.449997,252.940002,252.940002,7361100
3/7/14,252.940002,254.850006,244.410004,246.210007,246.210007,7812300
3/10/14,242.699997,243,236.059998,238.839996,238.839996,7728100
3/11/14,236.5,244.600006,232.429993,234.410004,234.410004,8810100
3/12/14,231.5,247.5,231.110001,241.490005,241.490005,9754400
3/13/14,243.789993,244.190002,234,237.789993,237.789993,6236300
3/14/14,235.289993,236.940002,228.320007,230.970001,230.970001,8289700
3/17/14,234.949997,237.929993,230.5,233.979996,233.979996,5912600
3/18/14,236.949997,241.5,235.020004,240.039993,240.039993,6242300
3/19/14,241.389999,241.550003,233.509995,235.839996,235.839996,5071300
3/20/14,236.160004,239.25,233.360001,234.910004,234.910004,3817900
3/21/14,236.020004,236.199997,227.5,228.889999,228.889999,8216900
3/24/14,229.75,229.899994,210.270004,220.169998,220.169998,11328800
3/25/14,224.139999,227.050003,217.899994,220.440002,220.440002,7865400
3/26/14,221.949997,222.600006,211.350006,212.960007,212.960007,6907300
3/27/14,212.369995,213.600006,203,207.320007,207.320007,9495700
3/28/14,212.800003,216.720001,210.270004,212.369995,212.369995,9684800
3/31/14,216.5,216.75,206.389999,208.449997,208.449997,8380000
4/1/14,209.020004,218.160004,208.580002,216.970001,216.970001,7371400
4/2/14,220,230.889999,218.050003,230.289993,230.289993,10782300
4/3/14,230.300003,235.729996,222,225.399994,225.399994,10923700
4/4/14,226.009995,228.270004,211.25,212.229996,212.229996,11345600
4/7/14,205.809998,216.199997,203.509995,207.520004,207.520004,9855500
4/8/14,210.050003,216.490005,206.419998,215.460007,215.460007,6889300
4/9/14,216.759995,218.449997,210.889999,216.929993,216.929993,5157900
4/10/14,216.820007,217.5,203.789993,204.190002,204.190002,7211500
4/11/14,200.610001,207,198.600006,203.779999,203.779999,9067200
4/14/14,207.600006,208.440002,194.410004,198.089996,198.089996,7703000
4/15/14,199.089996,199.289993,184.320007,193.910004,193.910004,13659300
4/16/14,197,199.990005,190.820007,199.110001,199.110001,7202200
4/17/14,199.610001,202.289993,194.080002,198.119995,198.119995,5926800
4/21/14,197.080002,206.199997,194,204.380005,204.380005,5258200
4/22/14,206.360001,219.330002,205.009995,218.639999,218.639999,9804700
4/23/14,216.330002,216.740005,207,207.990005,207.990005,7295600
4/24/14,210.809998,212.800003,203.199997,207.860001,207.860001,5495200
4/25/14,202,206.699997,197.649994,199.850006,199.850006,6996700
4/28/14,200,203.789993,190.5,198.509995,198.509995,7042000
4/29/14,198.210007,207.149994,195.529999,206.919998,206.919998,5779100
4/30/14,203.600006,208.160004,201.279999,207.889999,207.889999,4440600
5/1/14,207.080002,214.020004,205.690002,207.729996,207.729996,5439900
5/2/14,208.600006,211.360001,206.520004,210.910004,210.910004,4086800
5/5/14,209.479996,217.690002,208.520004,216.610001,216.610001,5147000
5/6/14,216.600006,218.660004,206.850006,207.279999,207.279999,5636700
5/7/14,209.639999,210.199997,197.25,201.350006,201.350006,10179300
5/8/14,182,194.399994,178,178.589996,178.589996,20056600
5/9/14,179.860001,183.399994,177.220001,182.259995,182.259995,8495200
5/12/14,183.869995,187.190002,179.880005,184.669998,184.669998,7002300
5/13/14,183.759995,191.339996,183,190.160004,190.160004,7097200
5/14/14,188.949997,193.479996,187.100006,190.619995,190.619995,5406700
5/15/14,189.979996,192.660004,185.300003,188.589996,188.589996,6040400
5/16/14,188.949997,192.039993,187.720001,191.559998,191.559998,4487700
5/19/14,190.720001,196.889999,190,196.089996,196.089996,4571700
5/20/14,196.940002,199.330002,193.070007,195.300003,195.300003,5546100
5/21/14,196.179993,199.869995,194.789993,199.449997,199.449997,5285400
5/22/14,200.350006,206.880005,199.559998,204.880005,204.880005,6214500
5/23/14,204.529999,207.759995,202.5,207.300003,207.300003,4006800
5/27/14,208.520004,213.869995,207.699997,211.559998,211.559998,5341100
5/28/14,210.020004,212.770004,205.259995,210.240005,210.240005,5495100
5/29/14,210.570007,212.490005,207.720001,210.240005,210.240005,3692500
5/30/14,210.300003,214.800003,207.020004,207.770004,207.770004,5581100
6/2/14,207.330002,209.350006,201.669998,204.699997,204.699997,4668100
6/3/14,203.490005,208,202.589996,204.940002,204.940002,3860800
6/4/14,204.350006,206.259995,200.399994,203.990005,203.990005,3427400
6/5/14,204.470001,209.199997,204.050003,206.899994,206.899994,4054600
6/6/14,209.75,210.809998,207.179993,208.169998,208.169998,3073800
6/9/14,207.949997,209.990005,204.199997,205.309998,205.309998,2805700
6/10/14,204.429993,206.970001,201.550003,202.300003,202.300003,3514700
6/11/14,201.5,205,199.25,204.470001,204.470001,3977500
6/12/14,205.100006,209.880005,202.710007,203.520004,203.520004,5993700
6/13/14,204.779999,206.789993,201.580002,206.419998,206.419998,3544300
6/16/14,206.759995,225.490005,206.259995,224.610001,224.610001,13246400
